"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
"9de1f48e9ab2dd70d1b5b918f0b107f112cfeed7",2023-06-01 00:00:00.000,vk,cpc,prof-python,"3123395",14:14:08,0,Не реализовано,143
"252a09c18427a9d89dc9c514e715ca7fc39ccab6",2023-06-01 00:03:00.000,vk,cpc,base-python,"13345415",09:03:33,0,Не реализовано,143
bda524147e91cbd149da877f82c1988c2bccb598,2023-06-01 00:03:00.000,vk,cpc,prof-python,"33562299",19:59:37,0,Не реализовано,143
"5ab49e56e75d659a4fee1e6035f2c7a8802cca61",2023-06-01 00:04:00.000,vk,cpc,prof-java,"48441017",10:48:05,0,Не реализовано,143
"06e57a4e586e652cc034ab9974e2750094a9fc85",2023-06-01 00:06:25.000,vk,cpc,freemium-java,"54290284",10:30:08,0,В работе,141
"7352d2e1499ec4caeeab7a273c58952618dcfeba",2023-06-01 00:07:00.000,vk,cpc,base-python,"58719826",09:38:40,0,В работе,141
"826a81e9eb34b6169c09e2bb1e6d49abb5c3a3e8",2023-06-01 00:08:00.000,vk,cpc,prof-java,"64114781",13:12:47,0,Не реализовано,143
e7829211fdba4f7632b8029e8dcde85bf0dba819,2023-06-01 00:09:00.000,vk,cpc,prof-python,"43897897",19:19:21,0,Не реализовано,143
"662bfe80c1ae7a8d18a2d631f843875b17b7af49",2023-06-01 00:10:00.000,vk,cpc,prof-frontend,"70191204",16:12:51,0,Не реализовано,143
"4dfc9ae914871effbd8a870e3e02e87cce6e9c95",2023-06-01 00:10:18.000,vk,cpc,freemium-java,"61559276",23:53:55,0,В работе,141
